"key","en_value","de_value","fr_value","ru_value","it_value","nl_value","pl_value"
"en.simple_form.yes","Yes","Ja","oui","Да","Si","Ja","Tak"
"en.simple_form.no","No","Nein","non","Нет","No","Nee","Nie"
"en.simple_form.required.text","required","Pflichtfeld","champ requis","Обязательное поле","Campo obbligatorio","Verplicht","Pole wymagane"
"en.simple_form.required.mark","*","*","*","*","*","*",
"en.simple_form.error_notification.default_message","Please review the problems below:","Es sind Fehler aufgetreten:","Une erreur est survenue:","Пожалуйста, обратите внимание на ошибки с заполнением ниже:","Si sono verificati degli errori","De volgende fouten zijn opgetreden:","Wystąpił błąd:"
"en.simple_form.preview.intro","Preview of your submission","Vorschau Ihres Beitrages","Aperçu de votre contribution","Предпросмотр публикации перед отправкой","Anteprima del tuo contributo","Voorbeeld van uw bijdrage","Podgląd wpisu"
"en.simple_form.form_intro.title","Commemoration of the 76th anniversary of the liberation of Stalag X B Sandbostel","Gedenken zum 76. Jahrestag der Befreiung des Stalag X B Sandbostel","Commémoration du 76e anniversaire de la libération du Stalag X B Sandbostel","Памятное мероприятие в связи с 76-ой годовщиной освобождения Шталага 10 Б в Зандбостеле","Commemorazione del 76° anniversario della liberazione dello Stalag X B Sandbostel","Herdenking ter gelegenheid van '76 jaar bevrijding van Stalag X B Sandbostel'","Obchody 76. rocznicy wyzwolenia Stalagu X B Sandbostel"
"en.simple_form.form_intro.text","Also this year, on April 29, we cannot commemorate together in Sandbostel the liberation of Stalag X B and remember those who suffered and died here. We will again celebrate the commemoration in a digital form. For this purpose, on the anniversary of the liberation, video clips with greetings from politicians and diplomats, contributions of students, and speeches from survivors and relatives will be released. There will also be another participatory project in which you, who might otherwise have come to Sandbostel, can actively participate.
In the form you can express your thoughts on the day of liberation of Stalag X B or about the person you mourn. Also, you can attach a photo of your loved one, of you and your family, a document, a drawing, or any other image that is important to you. The texts and images will be published together with your location on an interactive world map at <a href=""https://www.sandbostel76.de"">www.sandbostel76.de</a> from mid-April.
Submissions made later will be supplemented. The entry form will remain online until May 9 and contributions submitted by the deadline will be supplemented. Thus, on the 76th anniverary ot the liberation of Stalag X B, a digital memorial is being created that shows how global the memory of Sandbostel is.
We are looking forward to your contributions – thank you very much!","Auch in diesem Jahr können wir am 29. April nicht gemeinsam in Sandbostel an die Befreiung des Stalag X B erinnern und derer gedenken, die hier gelitten haben und gestorben sind. Wir werden die Gedenkveranstaltung erneut in einer digitalen Form begehen. Dazu wird am Jahrestag der Befreiung ein Film mit Grußworten aus Politik und Diplomatie, Beiträgen von Jugendlichen, sowie Reden von Überlebenden und Angehörigen veröffentlicht. Auch gibt es wieder ein partizipatives Gedenkprojekt, an dem Sie, die sonst vielleicht nach Sandbostel gekommen wären, sich aktiv beteiligen können.

In dem Formular können Sie Ihre Gedanken zum Tag der Befreiung des Stalag X B oder an den Menschen, um den Sie trauern, formulieren. Außerdem können Sie ein Foto von Ihrem Angehörigen, von Ihnen und Ihrer Familie, ein Dokument, eine Zeichnung oder eine andere Ihnen wichtige Abbildung beifügen. Die Texte und Abbildungen werden ab Mitte April zusammen mit Ihrem Standort auf einer interaktiven Weltkarte unter <a href=""https://www.sandbostel76.de"">www.sandbostel76.de</a> veröffentlicht.

Später eingereichten Beiträge werden ergänzt. Das Eingabeformular bleibt bis zum 9. Mai online und die bis zum Ende der Frist eingereichten Beiträge werden ebenfalls auf der Weltkarte ergänzt. So entsteht zum 76. Jahrestag der Befreiung des Stalag X B ein digitales Denkmal, das zeigt, wie global die Erinnerung an Sandbostel ist.

Wir freuen uns auf Ihre Beiträge - vielen Dank!
","Cette année également, le 29 avril, nous ne pouvons pas commémorer ensemble la libération du Stalag X B et rendre hommage à ceux qui ont souffert et qui sont morts à Sandbostel. Nous célébrerons à nouveau l'événement commémoratif sous forme numérique. À cette fin, à l'occasion du 76ème anniversaire de la libération, un film sera publié avec les salutations de la politique et de la diplomatie, des contributions des écoles voisines et des discours de survivants et de proches. Il existe également un autre projet commémoratif auquel vous pouvez participer activement.
Vous pouvez utiliser un formulaire pour formuler vos réflexions sur le jour de la libération du Stalag X B ou sur la personne à qui vous voulez rendre hommage. Vous pouvez également joindre une photo de votre proche, de vous-même et de votre famille, un document, un dessin ou toute autre illustration qui vous tient à cœur. Les textes et les images seront publiés avec votre lieu de résidence sur une carte interactive sur <a href=""https://www.sandbostel76.de"">www.sandbostel76.de</a> à partir de la mi-avril.
Les contributions soumises ultérieurement vont être ajoutées. Le formulaire de participation restera en ligne jusqu'au 9 mai et les contributions soumises avant la fin de la date limite seront également ajoutées à la carte interactive. Pour le 76ème anniversaire de la libération du Stalag X B, un mémorial numérique est ainsi en cours de création qui montre à quel point la mémoire de Sandbostel est globale.

Nous attendons vos contributions avec impatience - merci beaucoup!","В этом году мы снова не сможем собраться вместе в Зандбостеле 29 апреля, чтобы почтить память об освобождении Шталага 10 Б и вспомнить тех, кто страдал и погиб здесь. Мы снова проведём памятное мероприятие в цифровом формате. В эту годовщину освобождения будет выпущен фильм с приветственными словами политиков и дипломатов, выступлениями школьниц и школьников, а также речами выживших в лагере и их родственников. Также в этом году снова будет проводиться совместный памятный проект, в котором вы, кто возможно смогли бы приехать в Зандбостель, сможете поучаствовать. 

В форме ниже вы можете выразить свои мысли о Дне освобождения Шталага 10 Б или о человеке, о котором Вы скорбите. К этой записи вы сможете прикрепить фотографию вашего родственника, вас и вашей семьи, а также документ, рисунок или любое другое важное для вас изображение. Тексты и изображения будут опубликованы вместе с вашим местоположением на интерактивной карте мира на сайте <a href=""https://www.sandbostel76.de"">www.sandbostel76.de</a> в середине апреля. 

Публикации, присланные позже, также будут добавлены. Форма будет открыта до 9 мая, и материалы, присланные к этой дате, также будут добавлены на карту. Таким образом, в 76-ю годовщину освобождения Шталага 10 Б возникнет цифровой мемориал, показывающий, насколько глобальна память о Зандбостеле.

Мы с нетерпением ждём ваших публикаций и благодарим вас! ","Anche quest'anno, il 29 aprile, non possiamo ricordare insieme la liberazione di Stalag X B a Sandbostel e commemorare coloro che qui hanno sofferto e hanno perso la vita. Celebreremo quindi, nuovamente, l'evento commemorativo in forma virtuale. A tal fine, nell'anniversario della liberazione, verrà pubblicato un filmato che conterrà i saluti di personaggi di rilievo, del mondo politico e diplomatico, e conterrà anche contributi di studenti, nonchè discorsi di sopravvissuti e loro parenti. Ci sarà anche un’altro progetto di commemorazione partecipativa al quale voi, che altrimenti sareste venuti personalmente a Sandbostel, potrete partecipare attivamente.

Per partecipare, basta usare il modulo apposito nel quale è possibile formulare i vostri pensieri in riguardo al giorno della liberazione dello Stalag XB, o in relazione alla persona o parente che perse la sua vita in questo Lager. Potete anche allegare una foto del vostro caro, o una foto vostra, o della vostra famiglia, oppure un documento, un disegno o qualsiasi altra illustrazione che sia importante e significativa per voi. I testi e le immagini saranno in seguito pubblicati, insieme alla vostra locazione, su un mappamondo interattivo sul sito <a href=""https://www.sandbostel76.de"">www.sandbostel76.de</a>, a partire da metà aprile.
I contributi inviati successivamente, verranno integrati. Il modulo di inserimento dei dati rimarrà online fino al 9 maggio e verranno aggiunti al mappamondo interattivo tutti i contributi inviati entro la scadenza del termine. Per il 76° anniversario della liberazione dello Stalag XB, verrà creato un sacrario digitale che mostra quanto sia globale la rimembranza di Sandbostel.

Attendiamo con impazienza i vostri contributi - grazie mille!","Ook dit jaar kunnen we helaas op 29 april niet gezamenlijk in Sandbostel de bevrijding van Stalag X B herdenken en hen die hier geleden hebben en stierven gedenken. We zullen ook dit keer de herdenkingsbijeenkomst digitaal vormgeven. Daartoe wordt op de herdenkingsdag een film met bijdragen uit politiek en diplomatie, activiteiten van scholieren en toespraken van overlevenden en familieleden van gestorvenen openbaar gemaakt. Ook zal er weer een interactief herdenkingsprojekt georganiseerd worden, waaraan U, die anders mogelijk graag naar Sandbostel gekomen was, actief kunt bijdragen.
Op het formulier kunt U gedachten rond de bevrijding van Stalag X B of herinneringen aan mensen die U gedenkt formuleren. Daarnaast kunt U beeldmateriaal van U of Uw familie, zoals dokumenten, tekeningen of andere voor U belangrijke afbeeldingen toevoegen. Teksten en beeldmateriaal worden vanaf medio april samen met Uw woon- of verblijfplaats op een interactieve wereldkaart op <a href=""https://www.sandbostel76.de"">www.sandbostel76.de</a> gepubliceerd.
Bijdragen die later dan medio april nog aangeleverd worden voegen we nog toe. Het formulier blijft tot en met 9 mei online toegankelijk en de bijdragen tot aan die sluitingsdatum worden ook aan de wereldkaart toegevoegd. Op deze manier ontstaat naar onze verwachting een digitale herdenking van de 76e bevrijdingsdag van Stalag X B die duidelijk maakt hoe wereldwijd Sandbostel herdacht wordt.
Bij voorbaat hartelijk dank!","Także i w tym roku, 29 kwietnia, nie możemy w Sandbostel wspólnie upamiętnić wyzwolenie Stalagu X B i wspomnieć tych, którzy tu cierpieli i tu zginęli. Po raz kolejny będziemy upamiętniać to wydarzenie w formie cyfrowej. Z tej okazji zostanie powstanie film, w którym zabiorą głos politycy i dyplomaci, ocaleni i ich krewni, a także młode pokolenie. Miejsce Pamięci Obozu Sandbostel zainicjowało również projekt upamiętniający, w którym możecie aktywnie uczestniczyć.
W poniższym formularzu można opisać swoje wspomnienia, przemyślenia związane z Stalagiem X B, przesłać zdjęcie, rysunek albo dokument. Tekst i zdjęcie wraz z Twoją lokalizacją będą od połowy kwietnia opublikowane na interaktywnej mapie świata (<a href=""https://www.sandbostel76.de"">www.sandbostel76.de</a>).
Formularz będzie dostępny online do 9 maja. Dokonane wpisy będą stopniowo dodawane do mapy świata. W 76. rocznicę wyzwolenia Stalagu X B powstaje więc cyfrowe miejsce pamięci, które pokazuje, jak globalna jest pamięć o Sandbostel.
Czekamy na Twoją wiadomość - dziękujemy!"
"en.simple_form.form_menu.submission","Personal data","Ihre Daten","vos données personnelles","Ваши личные данные","I tuoi dati","Uw gegevens","Twoje dane"
"en.simple_form.form_menu.place","Location / Contribution","Ort/Beitrag","lieu / contribution","Место / Публикация","Luogo/Contributo","Plaats / Bijdrage","Miejscowość/Wpis"
"en.simple_form.form_menu.image","Image / Media","Bild/Medium","image / document","Изображение / Медиафайл","Immagine/Media","Afbeelding / Medium","Zdjęcie"
"en.simple_form.form_finished.title","Thank you for your participation.","Vielen Dank für Ihre Beteiligung.","Merci pour votre participation.","Благодарим за участие!","Grazie per la vostra partecipazione.","Dank U voor Uw bijdrage.","Bardzo dziękujemy za udział."
"en.simple_form.form_finished.subtitle","After an editorial review, your contribution will be published on <a href=""https://www.sandbostel76.de"">www.sandbostel76.de</a> from mid-April. Contributions submitted later will be uploaded directly after review.","Nach einer redaktionellen Prüfung wird der Beitrag ab Mitte April auf <a href=""https://www.sandbostel76.de"">www.sandbostel76.de</a> veröffentlicht. Beiträge die später eingereicht werden, werden nach der Prüfung direkt hochgeladen.","Après une vérification éditoriale, votre article sera publié sur <a href=""https://www.sandbostel76.de"">www.sandbostel76.de</a> à partir de la mi-avril. Les textes soumis ultérieurement seront téléchargés directement.","После редакционной проверки материалы будут опубликованы на сайте <a href=""https://www.sandbostel76.de"">www.sandbostel76.de</a> в середине апреля. Публикации, направленные позже, будут опубликованы сразу после завершения редакционной проверки.","Dopo un controllo redazionale, l’articolo sarà pubblicato su <a href=""https://www.sandbostel76.de"">www.sandbostel76.de</a> a partire da metà aprile. I contributi inviati successivamente verranno caricati subito dopo la disanima.","Na een redactionele controle worden de bijdragen vanaf medio april op <a href=""https://www.sandbostel76.de"">www.sandbostel76.de</a> gepubliceerd. Bijdragen die later volgen worden eveneens na een controle direct online geplaatst.","Od połowy kwietnia, po przeglądzie redakcyjnym wpisy zostaną opublikowany na stronie <a href=""https://www.sandbostel76.de"">www.sandbostel76.de</a>. Później przesłane wpisy zostaną dodane po zakończeniu przeglądu."
"en.simple_form.labels.title","Name (or Organisation)","Name (oder Organisation)","nom (ou organisation)","Имя (или название организации)","Nome (o organizzazione)","Naam (of organisatie)","Imię i nazwisko (lub organizacja)"
"en.simple_form.labels.teaser","Your contribution","Ihr Beitrag","votre contribution","Ваша публикация","Il tuo contributo","Uw bijdrage","Twój wpis"
"en.simple_form.labels.email","E-Mail","E-Mail","adresse e-mail","E-Mail адрес","E-mail","E-mail","adres e-mail"
"en.simple_form.labels.location","Location","Ort","lieu de résidence","Местоположение","Luogo","Plaats","Miejscowość"
"en.simple_form.labels.image","Would you like to upload an image?","Wollen Sie ein Bild hochladen?","Souhaitez-vous télécharger une image?","Вам хотелось бы загрузить изображения к вашей публикации?","Vuoi caricare un'immagine?","Wilt u een afbeelding uploaden?","Chcesz dodać zdjęcie?"
"en.simple_form.labels.image_description","Image description","Bildbeschreibung","description de l'image","Описание изображения","Descrizione immagine","Beschrijving van beeldmateriaal","Opis zdjęcia"
"en.simple_form.labels.rights","I hereby grant the Sandbostel Camp Memorial the rights to publish my contribution (Text and Images) on there website. I confirm that I am owner of the necessary copyright.","Hiermit erteile ich der Gedenkstätte Lager Sandbostel die Erlaubnis, meinen Beitrag (Text und Bild) auf ihrer Website zu veröffentlichen. Ich bestätige, dass ich im Besitz der Urheberrechte bin.","J'autorise le mémorial du camp de Sandbostel à publier ma contribution (texte et image) sur son site Internet. Je confirme que je possède les droits d'auteur.","Настоящим я предоставляю право Мемориалу «Лагерь Зандбостель» опубликовать предоставленные мной текст и изображения на этом сайте. Я подтверждаю, что авторские права принадлежат мне.","Con la presente concedo al Sacrario di Sandbostel il permesso di pubblicare il mio contributo (testo e immagine) sul suo sito web. Confermo di essere il proprietario dell‘immagine o di possedere i diritti d‘autore.","Hierbij geef ik de Gedenkstätte Lager Sandbostel toestemming, mijn bijdrage (in tekst en beeld) op de website te publiceren. Ik verklaar hiermee tevens dat ik de kopierechten over het materiaal heb.","Udzielam prawa Miejscu Pamięci Obozu Sandbostel do opublikowania mojego wpisu (tekstu i zdjęć) na swojej stronie internetowej. Potwierdzam, że jestem właścicielem odpowiednich praw autorskich."
"en.simple_form.labels.privacy","I hereby confirm that I/we have read and understood the privacy statement.","Ich bestätige, dass ich die Datenschutzerklärung gelesen und verstanden habe.","Je confirme avoir lu et accepté les termes de la politique de confidentialité.","Я ознакомлен(а) с политикой конфиденциальности и подтверждаю моё согласие с ней. ","Confermo di aver letto e compreso l'informativa sulla privacy.","Ik bevestig dat ik de Algemene verordening gegevensbescherming (AVG) gelezen heb en begrijp","Potwierdzam, że przeczytałem/am i zrozumiałem/am oświadczenie o ochronie danych osobowych."
"en.simple_form.labels.button_step1","Go to step 2","Weiter zu Schritt 2","Passez à l'étape 2","Ко второму шагу","Vai al punto 2","Ga door naar stap 2","Dalej"
"en.simple_form.labels.button_step2","Go to step 3","Weiter zu Schritt 3","Passez à l'étape 3","К третьему шагу","Vai al punto 3","Ga door naar stap 3","Dalej"
"en.simple_form.labels.submit","Submit submission","Beitrag einreichen","Soumettre votre contribution","Отправить публикацию","Invia contributo","Bijdrage verzenden","Wyślij wpis"
"en.simple_form.hints.title","Your name will be published","Ihr Name wird veröffentlicht.","votre nom sera publié.","Ваше имя будет опубликовано.","Il tuo nome verrà pubblicato","Uw naam wordt openbaar gemaakt","Twoje nazwisko zostanie opublikowane"
"en.simple_form.hints.teaser","A text with maximum of 500 chars.","Text mit einer Länge von bis zu 500 Zeichen.","Texte de 500 caractères maximum.","Текст длиной до 500 знаков.","Testo con una lunghezza massima di 500 caratteri.","Tekst van maximaal 500 tekens","Tekst o maksymalnej długości 500 znaków."
"en.simple_form.hints.email","Your email address will not be published!","Ihre E-Mail-Adresse wird nicht veröffentlicht!","Votre adresse email ne sera pas publiée!","Ваш E-Mail адрес не будет опубликован. ","Il tuo indirizzo e-mail non sarà pubblicato!","Uw e-mailadres wordt niet openbaar gemaakt!","Twój adres e-mail nie zostanie opublikowany!"
"en.simple_form.hints.location","Your location will be published with your name, please provide the city (or village) plus the name of the country.","Ihr Standort wird zusammen mit Ihrem Namen veröffentlicht. Bitte geben Sie die Stadt (oder den Ort) sowie das Land an.","Votre emplacement sera publié avec votre nom. Veuillez entrer la ville (ou village) et le pays.","Ваше местоположение будет опубликовано вместе с вашим именем. Пожалуйста, укажите город (или населённый пункт) и страну.","La tua posizione sarà pubblicata insieme al tuo nome. Si prega di indicare la città (o la località) e la Nazione.","Uw locatie / woonplaats wordt met uw naam openbaar gemaakt. Geef s.v.p. stad / plaats en land aan.","Twoja lokalizacja zostanie opublikowana z Twoim nazwiskiem. Proszę podać miasto (lub wieś) oraz kraj."
"en.simple_form.hints.image","Please use formats like JPEG, GIF, PNG only, maximum size 5MB","Bitte nur die Formate JPEG, GIF und PNG verwenden. Maximale Größe: 5 MB.","Veuillez n'utiliser que les formats JPEG, GIF et PNG. Taille maximale: 5 Mo.","Пожалуйста, загружайте изображения только в форматах JPEG, GIF и PNG. Максимальный размер изображения: 5 МБ.","Si prega di utilizzare solo i formati JPEG, GIF e PNG. Dimensione massima: 5 MB.","Gebruik uitsluitend JPEG, GIF of PNG formaat. Maximale grootte: 5 MB","Proszę używać tylko formatów JPEG, GIF lub PNG.  Maksymalna wielkość 5MB."
"en.simple_form.hints.image_description","Describe the image in a few words","Beschreiben Sie die Abbildung in wenigen Worten.","Décrivez l'illustration en quelques mots.","Опишите изображение в нескольких словах.","Descrivi l'illustrazione in poche parole.","Beschrijf s.v.p. de afbeelding in enkele woorden","Opisz zdjęcie w kilku słowach"
"en.simple_form.hints.image_switch","Upload an image file?","Ein Bild hochladen?","Télécharger un fichier image?","Вам хотелось бы загрузить изображения к вашей публикации?","Vuoi caricare il file di un‘immagine?","Afbeelding uploaden?","Chcesz dodać zdjęcie?"
"en.simple_form.placeholders.title","Your name and/or organisation","Ihr Name und/oder Ihre Organisation","Votre nom et / ou votre organisation","Ваше имя и/или название вашей организации","Il tuo nome e/o organizzazione","Uw naam of die van uw organisatie","Podaj imię i nazwisko (lub organizację)"
"en.simple_form.placeholders.teaser","Your submission","Ihr Beitrag","Votre contribution","Ваша публикация","Il tuo contributo","Uw bijdrage","Twój wpis"
"en.simple_form.placeholders.email","Your email address","Ihre E-Mail-Adresse","Votre adresse e-mail","Ваш E-Mail адрес","Il tuo indirizzo e-mail   ","Uw e-mailadres","Twój adres e-mail"
"en.simple_form.placeholders.location","Your city and country","Stadt/Dorf und Land","lieu de résidence / pays","Ваш город/населённый пункт и страна","Città/Provincia/Nazione","Stad / plaats en land","Twoja miejscowość i kraj"
"en.simple_form.placeholders.image_description","Title of the image","Titel der Abbildung","titre de l'illustration","Название изображения","Titolo dell‘immagine","Titel van de afbeelding","Opis zdjęcia"
"en.simple_form.messages.accepted","must be accepted.","Zustimmung erforderlich.","votre consentement est requis.","Необходимо согласие","Consenso necessario","Toestemming is vereist","Zgoda obowiązkowa"
"en.simple_form.messages.blank","is blank.","ist frei.","champ libre","оставлено пустым.","Questo spazio rimane libero","Is vrij","Pozostaje wolne."
"en.simple_form.messages.empty","is empty.","ist frei.","champ libre","оставлено пустым.","Questo spazio rimane libero","Is vrij","Pozostaje wolne."
